instructor_id,instructorname,email,phone,address,join_date
1,David Sanders,ckeller@example.net,+1-407-848-2950,Johnbury,2025-04-30
2,Kenneth Gregory,stacey43@example.net,(914)713-9142x52503,North Jamesmouth,2025-10-18
3,Daniel Brown,melissajenkins@example.com,965-227-6342,West Stephaniebury,2023-06-01
4,Lori Cook,lisamarshall@example.com,510.857.2163,South Carlos,2024-12-27
5,Brandon Wilkins,crystal63@example.org,(744)741-9347,Bradymouth,2025-10-15
6,Timothy Arias,georgeblack@example.net,+1-205-739-6291x017,Kyleburgh,2025-11-11
7,Jared Campbell,harrisjames@example.net,+1-304-634-1198,Port Courtneyhaven,2024-01-22
8,Daniel Craig,hermanbrett@example.net,833.832.5558,Kramerport,2025-02-22
9,Loretta Weaver,lopezdenise@example.org,+1-904-870-3635,Tuckerside,2023-07-05
10,Kenneth Robinson,kelleychristina@example.org,(312)275-7837x00671,Daviston,2025-08-12
11,Roberto Black,zacharydaniels@example.net,9569400682,Stevenstad,2024-07-10
12,Jesse Thomas,michael05@example.org,001-516-882-0804x063,West Stephanieville,2023-08-12
13,Jordan Pena,norrisjanet@example.net,924-510-5820x76178,East Jamie,2023-07-24
14,Melvin Wells,jacob42@example.com,001-783-994-1212x9876,New Andrew,2024-11-01
15,George Barnes,ccastro@example.com,486.459.7048x36220,East Luis,2024-01-04
16,Jerry Blake,youngheidi@example.net,(261)996-5416x52138,Lake Kellitown,2024-03-07
17,Christine Marshall,uneal@example.net,001-387-316-5757x8196,Owensview,2025-04-25
18,Kevin Wood,robertsoncheryl@example.net,232-432-1107x6223,South Kristaburgh,2025-08-22
19,William Lewis,djohnson@example.net,+1-451-281-3261x940,Sheenatown,2023-02-20
20,Crystal Patel,mellis@example.com,+1-550-222-6480x044,Mendezfort,2024-08-26
