enrollment_id,student_id,enrollment_date,progress_percentage,completion_status,studentname,email_x,phone_x,address_x,join_date_x,payment_id,revenue,payment_method,review_id,rating,review_text,review_date,course_ids,instructor_id,coursename,instructorname,email_y,phone_y,address_y,join_date_y
1,1,2025-10-25,74.61,InProgress,Jonathan Ward,beckchristopher@example.org,419-315-7369x48500,North Jacquelinestad,2024-03-08,1,759.02,Wallet,1,9,Site perhaps save direction research pattern first town over.,2025-11-26,1,14,SQL Server Essentials - 1,Melvin Wells,jacob42@example.com,001-783-994-1212x9876,New Andrew,2024-11-01
2,2,2023-04-28,96.43,Done,Kevin Stokes,clarkcynthia@example.org,001-767-503-1513x597,South Richard,2025-11-12,2,848.03,Cash,2,3,Resource create particular happy Democrat.,2023-06-22,2,20,Data Modeling - 2,Crystal Patel,mellis@example.com,+1-550-222-6480x044,Mendezfort,2024-08-26
3,3,2025-07-21,86.39,InProgress,Mark Foster,tlove@example.com,288-908-9698,West Troyburgh,2024-04-30,3,317.68,Credit Card,3,2,Room price rate tax at pick clear.,2025-09-04,3,3,Data Visualization - 3,Daniel Brown,melissajenkins@example.com,965-227-6342,West Stephaniebury,2023-06-01
4,4,2025-01-28,96.83,Done,Douglas Goodwin,xgonzales@example.net,(916)889-8619x62359,West Vincent,2024-07-16,4,281.57,Credit Card,4,4,Stuff young head when wonder door their.,2025-03-20,4,16,Power BI Basics - 4,Jerry Blake,youngheidi@example.net,(261)996-5416x52138,Lake Kellitown,2024-03-07
5,5,2023-03-06,91.12,InProgress,Andrea Collier,jose21@example.net,(777)696-3147x789,Brendamouth,2024-07-31,5,279.41,Credit Card,5,6,Sort the analysis general can customer.,2023-03-07,5,10,Python for Data Analysis - 5,Kenneth Robinson,kelleychristina@example.org,(312)275-7837x00671,Daviston,2025-08-12
6,6,2024-05-29,97.76,Done,Mark Boyd,juliancasey@example.com,530.947.5668x19013,Maryberg,2024-05-13,6,206.69,Wallet,6,3,Since pressure religious hospital before control for training than real.,2024-06-13,6,20,Data Modeling - 6,Crystal Patel,mellis@example.com,+1-550-222-6480x044,Mendezfort,2024-08-26
7,7,2025-12-31,99.1,Done,Jared Wright,swansonmatthew@example.net,+1-760-631-2611x617,Smithland,2024-01-25,7,385.21,Cash,7,2,Best course if issue assume apply effort manage political arrive lot.,2026-02-14,7,9,Statistics for Data - 7,Loretta Weaver,lopezdenise@example.org,+1-904-870-3635,Tuckerside,2023-07-05
8,8,2024-02-01,65.52,InProgress,Linda Gonzalez,johnpeters@example.com,(361)516-0679x5824,Denisetown,2025-07-09,8,585.21,Credit Card,8,7,Fly grow break night they fight involve analysis commercial available.,2024-02-27,8,14,ETL Foundations - 8,Melvin Wells,jacob42@example.com,001-783-994-1212x9876,New Andrew,2024-11-01
9,9,2025-08-29,98.83,Done,Christopher Garrett,ashlee54@example.org,(467)950-9632x71522,Vincentton,2025-06-01,9,316.49,Cash,9,6,Throughout thank relationship piece mind her economic information term hundred.,2025-10-15,9,11,Excel Reporting - 9,Roberto Black,zacharydaniels@example.net,9569400682,Stevenstad,2024-07-10
10,10,2024-06-23,97.6,Done,Sharon Cardenas,hwarren@example.com,(281)431-8842x7372,North Andre,2023-09-06,10,328.72,Credit Card,10,8,Language spend behind sound feeling agent somebody.,2024-07-19,10,5,Data Modeling - 10,Brandon Wilkins,crystal63@example.org,(744)741-9347,Bradymouth,2025-10-15
